imdb_id,actor
tt0111161,Tim Robbins
tt0111161,Morgan Freeman
tt0111161,Bob Gunton
tt0111161,William Sadler
tt0068646,Marlon Brando
tt0068646,Al Pacino
tt0068646,James Caan
tt0068646,Richard S. Castellano
tt0071562,Al Pacino
tt0071562,Robert Duvall
tt0071562,Diane Keaton
tt0071562,Robert De Niro
tt0468569,Christian Bale
tt0468569,Heath Ledger
tt0468569,Aaron Eckhart
tt0468569,Michael Caine
tt0050083,Martin Balsam
tt0050083,John Fiedler
tt0050083,Lee J. Cobb
tt0050083,E.G. Marshall
tt0108052,Liam Neeson
tt0108052,Ben Kingsley
tt0108052,Ralph Fiennes
tt0108052,Caroline Goodall
tt0167260,Noel Appleby
tt0167260,Ali Astin
tt0167260,Sean Astin
tt0167260,David Aston
tt0110912,Tim Roth
tt0110912,Amanda Plummer
tt0110912,Laura Lovelace
tt0110912,John Travolta
tt0060196,Eli Wallach
tt0060196,Clint Eastwood
tt0060196,Lee Van Cleef
tt0060196,Aldo Giuffrè
tt0120737,Alan Howard
tt0120737,Noel Appleby
tt0120737,Sean Astin
tt0120737,Sala Baker
tt0137523,Edward Norton
tt0137523,Brad Pitt
tt0137523,Meat Loaf
tt0137523,Zach Grenier
tt0109830,Tom Hanks
tt0109830,Rebecca Williams
tt0109830,Sally Field
tt0109830,Michael Conner Humphreys
tt1375666,Leonardo DiCaprio
tt1375666,Joseph Gordon-Levitt
tt1375666,Ellen Page
tt1375666,Tom Hardy
tt0080684,Mark Hamill
tt0080684,Harrison Ford
tt0080684,Carrie Fisher
tt0080684,Billy Dee Williams
tt0167261,Bruce Allpress
tt0167261,Sean Astin
tt0167261,John Bach
tt0167261,Sala Baker
tt0133093,Keanu Reeves
tt0133093,Laurence Fishburne
tt0133093,Carrie-Anne Moss
tt0133093,Hugo Weaving
tt0099685,Robert De Niro
tt0099685,Ray Liotta
tt0099685,Joe Pesci
tt0099685,Lorraine Bracco
tt0073486,Jack Nicholson
tt0073486,Louise Fletcher
