,netflixid,title,image,synopsis,rating,type,released,runtime,largeimage,unogsdate,imdbid,download
0,80192064,Luciano Mellera: Infantiloide,http://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZPbNynCLoKGa8apkY2aS3R81-qI5FOlRL1OqxFHKPsDJzrJIHtr6l2ZhRPVG7TmfDuL2ShqjH7tv9kApsbWAOIkskTbuAUa5SswK8ZkDBx_27E9UTZHMaUM2Mw.jpg?r=2f1,Argentina&#39;s Luciano Mellera emphasizes the humorous and fantastical aspects of childhood through comedic impersonations and insights on daily life.,9.6,movie,2018,1h6m,,2018-07-07,tt7607400,0
1,81206389,Oththa Seruppu Size 7,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABc5BOAwjX_M3VAx-sJCV53QhB3ZQPBUQGgnmgEzekAuHOxvCxhMbuwOsMjoFkcj5mFn6V29j00-rZAGmhvB0-mQqJQ.jpg?r=065,"Taken into custody, a murder suspect&#39;s theatrical explanations of his peculiar modus operandi unearth truths far beyond the crime he&rsquo;s accused of.",9.4,movie,2019,1h43m,,2019-11-03,tt10370116,0
2,553500,"The Good, the Bad and the Ugly",https://occ-0-1091-300.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbThPkDNVRSITK9Xr9jSh6Us7qk9bUHbeoeM2S6BkM_ODlMrBn0tJDgqV5zq5RIPJCnsS0dP-wHXh2ZYcUkDzWbKtw.jpg?r=501,"While the Civil War rages between the Union and the Confederacy, three men comb the American Southwest in search of $200,000 in stolen gold.",8.8,movie,1966,2h58m,http://cdn1.nflximg.net/images/4583/21904583.jpg,2015-04-14,tt0060196,0
3,70131314,Inception,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYDAY7Malaj4klMEjUvy1YC7O6JXaUodaDIW2xyYs_huUch4quAuREHvGe6VlIj6o1K3THeI7eKXlBDuS6a-JZH7sw.jpg?r=d87,"In this mindbending sci-fi thriller, a man runs an espionage business built around entering the subconscious of his targets to steal their thoughts.",8.8,movie,2010,2h28m,http://cdn1.nflximg.net/images/6571/9976571.jpg,2015-04-14,tt1375666,0
4,81002214,Mahabharat,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaOabFu3nz2v_eXyKuR6G33-mhQ1C8PKESr6AB4yFeFV2p7dtN7SWlki8hS_KY1mmpRmEWadXcIbzmrxuYy7ReaIfg.jpg?r=333,Two young brothers encounter a singing bird who treats them to a musical reinterpretation of one of India&rsquo;s most epic ancient tales.,8.8,movie,2013,1h59m,,2018-08-01,tt3212600,0
5,81047899,Surga Yang Tak Dirindukan,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABR2WYHyJxWJVmDVTzWQ75nxNQSlAs3NJhIK58Jyi3fVSpfmOPt7d_UqeD0burOLf9ANC7ujsPE8KWEHGCpmplV4T7g.jpg?r=ed1,"After saving an unwed expectant mother who&#39;s injured in a car accident, a happily married man takes her as his second wife -- without telling his first.",8.8,movie,2015,2h1m,,2019-01-27,tt5104080,0
6,81045060,Merku Thodarchi Malai,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWHCFuLz8jWrhYeKFbpWYhbNNThsxtNfcuV_6QZs6n8Ynvpk6C8HjkatjXB_OIwBV6C25c95s89Qr2JLlroDgq3pXQ.jpg?r=3f6,"In southern India, a laborer&#39;s dreams of owning a piece of land to farm is complicated by political corruption.",8.8,movie,2018,1h54m,,2019-01-01,tt7794052,0
7,81218363,Sillu Karuppatti,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe5MBjyp7pc1drKomfeyUiNo-FCglFJL_0WYkTgQTf0Xp1C6JrjjAg7ggjXB_duuueN1JMGGoEwKvLJG0q3KeM6WUQ.jpg?r=c4b,"From first crushes to post-marriage relationships, love and connection are at the heart of the four interwoven stories in this anthology film.",8.8,movie,2019,2h13m,,2020-01-26,tt9614988,0
8,20557937,The Matrix,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABaqOk9gIL2AhavJ5YauNUyT_jgDiyV5l9nYWEnWSYArhgsxQod55rZQ4IXV4mZzWXOq6PEKVfVSNZ7FpdTsTFsnPuQ.jpg?r=7d5,A computer hacker learns that what most people perceive as reality is actually a simulation created by machines and joins a rebellion to break free.,8.7,movie,1999,2h16m,http://cdn0.nflximg.net/images/6176/9246176.jpg,2015-04-14,tt0133093,0
9,80216270,One Heart: The AR Rahman Concert Film,https://occ-0-2851-38.1.nflxso.net/dnm/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABUp0wglx6D-Bi7pjmj_qrz4t2A6ASenUg3QAVQCx0PQ9B5ytJTYtaY1jtWxGdVBeebCS1bGscYVnv7XCt5YcRHYvxw.jpg?r=d5a,"In this concert film, Indian musical maestro A.R. Rahman performs 15 of his most popular songs and reveals himself through interviews and clips.",8.7,movie,2017,1h26m,,2017-11-01,tt6484956,0
