IMDb ID,Title,Streaming Service,Streaming URL
tt0111161,The Shawshank Redemption,Netflix,https://www.netflix.com/title/70005379
tt0111161,The Shawshank Redemption,Google Play,https://play.google.com/store/movies/details/The_Shawshank_Redemption?gl=US&hl=en&id=RLw6hBFJ8bk
tt0111161,The Shawshank Redemption,Amazon Instant Video,https://www.amazon.com/gp/product/B001EBV0P8?creativeASIN=B001EBV0P8&ie=UTF8&linkCode=xm2&tag=utellycom00-21
tt0111161,The Shawshank Redemption,iTunes,https://itunes.apple.com/us/movie/the-shawshank-redemption/id282875479
tt0068646,The Godfather,Google Play,https://play.google.com/store/movies/details/The_Godfather?gl=US&hl=en&id=vdQi6Ebjm8c
tt0068646,The Godfather,iTunes,https://itunes.apple.com/us/movie/the-godfather-the-coppola-restoration/id285494571
tt0068646,The Godfather,Amazon Instant Video,https://www.amazon.com/gp/product/B005DNPFUE?creativeASIN=B005DNPFUE&ie=UTF8&linkCode=xm2&tag=utellycom00-21
tt0071562,The Godfather: Part II,Google Play,https://play.google.com/store/movies/details/The_Godfather_Part_II?gl=US&hl=en&id=a8PT11hT-aM
tt0071562,The Godfather: Part II,iTunes,https://itunes.apple.com/us/movie/the-godfather-part-ii-the-coppola-restoration/id289039042
tt0071562,The Godfather: Part II,Amazon Instant Video,https://www.amazon.com/gp/product/B001GJ5AOU?creativeASIN=B001GJ5AOU&ie=UTF8&linkCode=xm2&tag=utellycom00-21
tt0071562,The Godfather: Part II,FandangoMoviesIVAUS,"http://www.fandango.com/The+Godfather,+Part+II+%281975%29_2848/movieoverview"
tt0468569,Dark Knight - The Dark Knight,iTunes,https://itunes.apple.com/us/movie/the-dark-knight/id764632601
tt0468569,Dark Knight - The Dark Knight,Google Play,https://play.google.com/store/movies/details/The_Dark_Knight?gl=US&hl=en&id=qY3UkAHufLY
tt0468569,Dark Knight - The Dark Knight,Amazon Instant Video,https://www.amazon.com/gp/product/B001I189MQ?creativeASIN=B001I189MQ&ie=UTF8&linkCode=xm2&tag=utellycom00-21
tt0050083,12 Angry Men,iTunes,https://itunes.apple.com/us/movie/12-angry-men/id299020164
tt0050083,12 Angry Men,Google Play,https://play.google.com/store/movies/details/12_Angry_Men?gl=US&hl=en&id=J61XJhYiUpg
tt0050083,12 Angry Men,Amazon Instant Video,https://www.amazon.com/gp/product/B001MLWLHG?creativeASIN=B001MLWLHG&ie=UTF8&linkCode=xm2&tag=utellycom00-21
tt0050083,12 Angry Men,Amazon Prime Video,https://www.amazon.com/gp/product/B07JCK5XXN?creativeASIN=B07JCK5XXN&ie=UTF8&linkCode=xm2&tag=utellycom00-21
tt0108052,Schindler's List,Google Play,https://play.google.com/store/movies/details/Schindler_s_List?gl=US&hl=en&id=TEY0dQAF4k4
tt0108052,Schindler's List,Amazon Instant Video,https://www.amazon.com/gp/product/B00BEN0YP8?creativeASIN=B00BEN0YP8&ie=UTF8&linkCode=xm2&tag=utellycom00-21
tt0108052,Schindler's List,iTunes,https://itunes.apple.com/us/movie/schindlers-list/id587742072
tt0167260,The Lord of the Rings - The Return of the King (Special Extended Edition),iTunes,https://itunes.apple.com/us/movie/the-lord-of-the-rings-the-return-of-the-king-extended-edition/id431020315
tt0167260,The Lord of the Rings - The Return of the King (Special Extended Edition),Google Play,https://play.google.com/store/movies/details/The_Lord_of_the_Rings_The_Return_of_the_King_Exten?gl=US&hl=en&id=ZxVIU6YWX-Q
tt0167260,The Lord of the Rings - The Return of the King (Special Extended Edition),Amazon Instant Video,https://www.amazon.com/gp/product/B0039Q4FBW?creativeASIN=B0039Q4FBW&ie=UTF8&linkCode=xm2&tag=utellycom00-21
tt0110912,Pulp Fiction,Amazon Instant Video,https://www.amazon.com/gp/product/B005T3AX6E?creativeASIN=B005T3AX6E&ie=UTF8&linkCode=xm2&tag=utellycom00-21
tt0110912,Pulp Fiction,Google Play,https://play.google.com/store/movies/details/Pulp_Fiction?gl=us&hl=en&id=hhMtO1MVFSo
tt0110912,Pulp Fiction,iTunes,https://itunes.apple.com/us/movie/pulp-fiction/id463252252
